"","ID","AGE","GENDER","RACE","ArrestTime","Hour","Month","Weekday","OFFENSE","Code","ShortCode"
"2203",4155,19,"M","B","2016-12-14T22:23:00","22","十二月","星期三","1543 Driving While Operating Privilege is Suspended or Revoked. ","1543","15"
"2209",5400,21,"F","W","2017-02-09T01:33:00","1","二月","星期四","5506 Loitering and Prowling at Night ","5506","55"
"2210",5400,21,"F","W","2017-02-09T01:33:00","1","二月","星期四","9015 Failure To Appear","9015","90"
"2215",832,16,"M","B","2016-08-23T12:40:00","12","八月","星期二","1501 Drivers Required to be Licensed.","1501","15"
"2217",2992,16,"M","B","2016-12-04T03:54:00","3","十二月","星期日","3745 Accidents Involving Damage to Unattended Veh.or Prop.","3745","37"
"2229",1561,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","9501 Bench Warrant ","9501","95"
"2230",1561,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","7512 Criminal Use of Communication","7512","75"
"2234",4926,16,"F","B","2017-01-26T16:26:00","16","一月","星期四","4106 Access Device Fraud","4106","41"
"2238",3180,20,"M","W","2016-11-24T12:14:00","12","十一月","星期四","6117 Altering or Obliterating Marks of Identification. ","6117","61"
"2252",4433,18,"M","B","2017-01-11T03:11:00","3","一月","星期三","5121 Escape. ","5121","51"
"2253",4433,18,"M","B","2017-01-11T03:11:00","3","一月","星期三","5506 Loitering and Prowling at Night ","5506","55"
"2254",4433,18,"M","B","2017-01-11T03:11:00","3","一月","星期三","1501 Drivers Required to be Licensed.","1501","15"
"2256",2541,20,"F","W","2016-10-16T18:06:00","18","十月","星期日","2702 Aggravated Assault. ","2702","27"
"2257",2541,20,"F","W","2016-10-16T18:06:00","18","十月","星期日","3304 Criminal Mischief. ","3304","33"
"2263",803,15,"M","B","2016-09-08T18:35:00","18","九月","星期四","2901 Kidnapping. ","2901","29"
"2264",803,15,"M","B","2016-09-08T18:35:00","18","九月","星期四","3702 Robbery of Motor Vehicle.","3702","37"
"2277",211,21,"M","W","2016-08-16T13:00:00","13","八月","星期二","5901 Open Lewdness. ","5901","59"
"2281",818,21,"M","W","2016-08-20T17:30:00","17","八月","星期六","3701 Robbery. ","3701","37"
"2282",818,21,"M","W","2016-08-20T17:30:00","17","八月","星期六","3702 Robbery of Motor Vehicle. ","3702","37"
"2283",818,21,"M","W","2016-08-20T17:30:00","17","八月","星期六","3921 Theft by Unlawful Taking or Disposition. ","3921","39"
"2284",818,21,"M","W","2016-08-20T17:30:00","17","八月","星期六","9501 Bench Warrant","9501","95"
"2286",3491,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","2701 Simple Assault. ","2701","27"
"2287",3491,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","3502 Burglary. ","3502","35"
"2288",3491,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","6106 Firearms not to be Carried without a License.","6106","61"
"2292",3492,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","2701 Simple Assault. ","2701","27"
"2293",3492,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","3502 Burglary. ","3502","35"
"2294",3492,15,"F","B","2016-12-19T09:00:00","9","十二月","星期一","6106 Firearms not to be Carried without a License.","6106","61"
"2298",820,20,"M","B","2016-09-09T11:02:00","11","九月","星期五","2702 Aggravated Assault. ","2702","27"
"2301",3194,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5501 Riot. ","5501","55"
"2302",3194,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5502 Failure of Disorderly Persons to Disperse  ","5502","55"
"2307",2574,19,"M","B","2016-11-18T09:08:00","9","十一月","星期五","4906 False Reports to Law Enforcement Authorities. ","4906","49"
"2308",2574,19,"M","B","2016-11-18T09:08:00","9","十一月","星期五","6106 Firearms not to be Carried without a License.","6106","61"
"2310",3195,14,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5501 Riot. ","5501","55"
"2311",3195,14,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5502 Failure of Disorderly Persons to Disperse  ","5502","55"
"2314",3197,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5501 Riot. ","5501","55"
"2315",3197,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5502 Failure of Disorderly Persons to Disperse  ","5502","55"
"2326",6858,16,"M","B","2017-03-23T14:30:00","14","三月","星期四","2705 Recklessy Endangering Another Person.","2705","27"
"2331",858,18,"M","B","2016-08-26T13:14:00","13","八月","星期五","5121 Escape. ","5121","51"
"2337",2578,20,"F","B","2016-11-03T10:10:00","10","十一月","星期四","2701 Simple Assault. ","2701","27"
"2338",2578,20,"F","B","2016-11-03T10:10:00","10","十一月","星期四","3701 Robbery.","3701","37"
"2340",5450,19,"M","B","2017-02-05T01:56:00","1","二月","星期日","6106 Firearms not to be Carried without a License. ","6106","61"
"2341",5450,19,"M","B","2017-02-05T01:56:00","1","二月","星期日","1501 Drivers Required to be Licensed. ","1501","15"
"2342",5450,19,"M","B","2017-02-05T01:56:00","1","二月","星期日","4303 General Lighting Requirements.","4303","43"
"2348",3408,20,"F","B","2016-11-30T16:41:00","16","十一月","星期三","3304 Criminal Mischief. ","3304","33"
"2349",3408,20,"F","B","2016-11-30T16:41:00","16","十一月","星期三","3503 Criminal Trespass","3503","35"
"2351",1401,20,"F","W","2016-09-20T09:35:00","9","九月","星期二","5501 Riot.","5501","55"
"2362",3202,17,"F","B","2016-12-01T09:52:00","9","十二月","星期四","5503 Disorderly Conduct.","5503","55"
"2367",221,16,"M","B","2016-08-07T20:00:00","20","八月","星期日","5121 Escape. ","5121","51"
"2368",221,16,"M","B","2016-08-07T20:00:00","20","八月","星期日","5501 Riot. ","5501","55"
"2371",6269,18,"M","B","2017-03-07T10:15:00","10","三月","星期二","2501 Criminal Homicide. ","2501","25"
"2372",6269,18,"M","B","2017-03-07T10:15:00","10","三月","星期二","3701 Robbery.","3701","37"
"2376",3189,16,"F","B","2016-12-01T10:43:00","10","十二月","星期四","912 Possession of Weapon on School Property.","912","9"
"2383",874,18,"F","B","2016-09-12T17:11:00","17","九月","星期一","1501 Drivers Required to be Licensed.","1501","15"
"2386",4969,19,"F","B","2017-01-28T18:15:00","18","一月","星期六","3701 Robbery.","3701","37"
"2391",3066,15,"M","B","2016-12-01T17:30:00","17","十二月","星期四","3701 Robbery.","3701","37"
"2397",3033,19,"M","W","2016-11-23T09:30:00","9","十一月","星期三","3921 Theft by Unlawful Taking or Disposition.","3921","39"
"2400",3234,20,"F","B","2016-11-20T05:13:00","5","十一月","星期日","5104 Resisting Arrest or Other Law Enforcement.","5104","51"
"2406",3253,21,"M","B","2016-12-08T19:06:00","19","十二月","星期四","2701 Simple Assault. ","2701","27"
"2407",3253,21,"M","B","2016-12-08T19:06:00","19","十二月","星期四","3304 Criminal Mischief. ","3304","33"
"2408",3253,21,"M","B","2016-12-08T19:06:00","19","十二月","星期四","3502 Burglary.","3502","35"
"2417",1697,18,"M","B","2016-10-01T01:43:00","1","十月","星期六","3701 Robbery.","3701","37"
"2419",925,17,"M","B","2016-09-02T13:51:00","13","九月","星期五","2702 Aggravated Assault. ","2702","27"
"2420",925,17,"M","B","2016-09-02T13:51:00","13","九月","星期五","3701 Robbery. ","3701","37"
"2425",875,16,"M","B","2016-09-12T17:11:00","17","九月","星期一","2706 Terroristic Threats. ","2706","27"
"2426",875,16,"M","B","2016-09-12T17:11:00","17","九月","星期一","2709 Harassment (Non-Specific) ","2709","27"
"2427",875,16,"M","B","2016-09-12T17:11:00","17","九月","星期一","4914 False Identification to Law Enforcement Authorities","4914","49"
"2431",884,20,"F","B","2016-09-04T23:33:00","23","九月","星期日","5123 Contraband. ","5123","51"
"2436",5336,18,"F","W","2017-02-08T20:45:00","20","二月","星期三","2702 Aggravated Assault. ","2702","27"
"2437",5336,18,"F","W","2017-02-08T20:45:00","20","二月","星期三","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2438",5336,18,"F","W","2017-02-08T20:45:00","20","二月","星期三","5105 Hindering Apprehension or Prosecution.","5105","51"
"2441",926,16,"M","B","2016-09-02T13:51:00","13","九月","星期五","2702 Aggravated Assault. ","2702","27"
"2442",926,16,"M","B","2016-09-02T13:51:00","13","九月","星期五","3701 Robbery. ","3701","37"
"2445",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","903 Criminal Conspiracy. ","903","9"
"2446",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","907 Possessing Instruments of Crime. ","907","9"
"2447",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","2701 Simple Assault. ","2701","27"
"2448",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","2702 Aggravated Assault. ","2702","27"
"2449",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","2705 Recklessy Endangering Another Person. ","2705","27"
"2450",4764,19,"M","B","2017-01-31T08:20:00","8","一月","星期二","3304 Criminal Mischief.","3304","33"
"2454",930,20,"M","B","2016-09-06T13:03:00","13","九月","星期二","7512 Criminal Use of Communication","7512","75"
"2456",6877,19,"M","B","2017-03-23T01:38:00","1","三月","星期四","9093 Indirect Criminal Contempt","9093","90"
"2458",127,19,"M","W","2016-08-27T19:05:00","19","八月","星期六","5104 Resisting Arrest or Other Law Enforcement.","5104","51"
"2460",5540,20,"M","B","2017-02-10T16:21:00","16","二月","星期五","4303 General Lighting Requirements. ","4303","43"
"2464",5974,13,"M","B","2017-02-25T21:00:00","21","二月","星期六","907 Possessing Instruments of Crime. ","907","9"
"2465",5974,13,"M","B","2017-02-25T21:00:00","21","二月","星期六","2706 Terroristic Threats. ","2706","27"
"2469",3448,14,"F","B","2016-12-13T11:54:00","11","十二月","星期二","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2474",6300,13,"M","B","2017-03-08T13:40:00","13","三月","星期三","2902 Unlawful Restraint. ","2902","29"
"2475",6300,13,"M","B","2017-03-08T13:40:00","13","三月","星期三","2906 Criminal Coercion. ","2906","29"
"2482",5978,14,"M","B","2017-02-22T15:00:00","15","二月","星期三","3502 Burglary. ","3502","35"
"2483",5978,14,"M","B","2017-02-22T15:00:00","15","二月","星期三","3921 Theft by Unlawful Taking or Disposition. ","3921","39"
"2484",5978,14,"M","B","2017-02-22T15:00:00","15","二月","星期三","3925 Receiving Stolen Property.","3925","39"
"2489",5977,15,"M","B","2017-02-22T15:00:00","15","二月","星期三","3502 Burglary. ","3502","35"
"2490",5977,15,"M","B","2017-02-22T15:00:00","15","二月","星期三","3921 Theft by Unlawful Taking or Disposition. ","3921","39"
"2491",5977,15,"M","B","2017-02-22T15:00:00","15","二月","星期三","3925 Receiving Stolen Property.","3925","39"
"2494",3314,20,"M","W","2016-12-07T13:40:00","13","十二月","星期三","3323 Stop Signs and Yield Signs. ","3323","33"
"2495",3314,20,"M","W","2016-12-07T13:40:00","13","十二月","星期三","3361  Driving Vehicle at Safe Speed. ","3361","33"
"2496",3314,20,"M","W","2016-12-07T13:40:00","13","十二月","星期三","3714 Careless Driving ","3714","37"
"2501",6701,21,"F","B","2017-03-23T20:50:00","20","三月","星期四","5503 Disorderly Conduct. ","5503","55"
"2502",6701,21,"F","B","2017-03-23T20:50:00","20","三月","星期四","5505 Public Drunkenness","5505","55"
"2504",5987,17,"M","B","2017-02-28T17:20:00","17","二月","星期二","6106 Firearms not to be Carried without a License. ","6106","61"
"2505",5987,17,"M","B","2017-02-28T17:20:00","17","二月","星期二","9015 Failure To Appear","9015","90"
"2508",5986,11,"F","B","2017-02-16T11:30:00","11","二月","星期四","5503 Disorderly Conduct.","5503","55"
"2510",943,16,"M","B","2016-09-24T17:15:00","17","九月","星期六","3702 Robbery of Motor Vehicle.","3702","37"
"2515",3328,21,"M","B","2016-11-28T12:03:00","12","十一月","星期一","5121 Escape. ","5121","51"
"2516",3328,21,"M","B","2016-11-28T12:03:00","12","十一月","星期一","5126 Flight to Avoid Apprehension, Trial or Punishment. ","5126","51"
"2518",3328,21,"M","B","2016-11-28T12:03:00","12","十一月","星期一","6106 Firearms not to be Carried without a License.","6106","61"
"2520",4917,17,"M","B","2017-01-30T11:30:00","11","一月","星期一","3502 Burglary. ","3502","35"
"2521",4917,17,"M","B","2017-01-30T11:30:00","11","一月","星期一","3921 Theft by Unlawful Taking or Disposition.","3921","39"
"2526",3335,21,"M","B","2016-11-30T01:21:00","1","十一月","星期三","3361  Driving Vehicle at Safe Speed. ","3361","33"
"2529",1130,19,"M","W","2016-09-06T19:01:00","19","九月","星期二","2702 Aggravated Assault. ","2702","27"
"2530",1130,19,"M","W","2016-09-06T19:01:00","19","九月","星期二","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2533",808,21,"F","W","2016-08-20T04:45:00","4","八月","星期六","9015 Failure To Appear","9015","90"
"2539",1613,20,"M","B","2016-09-30T20:46:00","20","九月","星期五","6106 Firearms not to be Carried without a License.","6106","61"
"2546",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2547",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","5121 Escape. ","5121","51"
"2548",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","6106 Firearms not to be Carried without a License. ","6106","61"
"2553",3489,21,"M","W","2016-12-01T03:30:00","3","十二月","星期四","4303 General Lighting Requirements. ","4303","43"
"2559",963,21,"M","B","2016-09-16T15:15:00","15","九月","星期五","6106 Firearms not to be Carried without a License.","6106","61"
"2561",6034,17,"F","B","2017-02-22T15:10:00","15","二月","星期三","912 Possession of Weapon on School Property. ","912","9"
"2562",6034,17,"F","B","2017-02-22T15:10:00","15","二月","星期三","2705 Recklessy Endangering Another Person. ","2705","27"
"2566",839,16,"M","B","2016-08-24T22:30:00","22","八月","星期三","9501 Bench Warrant","9501","95"
"2575",990,21,"M","W","2016-09-22T18:20:00","18","九月","星期四","2702 Aggravated Assault. ","2702","27"
"2576",990,21,"M","W","2016-09-22T18:20:00","18","九月","星期四","2705 Recklessy Endangering Another Person.","2705","27"
"2584",6037,16,"M","W","2017-02-15T21:58:00","21","二月","星期三","2902 Unlawful Restraint.","2902","29"
"2589",964,19,"M","B","2016-09-10T18:46:00","18","九月","星期六","6106 Firearms not to be Carried without a License. ","6106","61"
"2595",965,16,"M","B","2016-09-10T18:45:00","18","九月","星期六","6106 Firearms not to be Carried without a License. ","6106","61"
"2609",3626,21,"F","W","2016-12-10T01:00:00","1","十二月","星期六","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2610",3626,21,"F","W","2016-12-10T01:00:00","1","十二月","星期六","5503 Disorderly Conduct. ","5503","55"
"2611",3626,21,"F","W","2016-12-10T01:00:00","1","十二月","星期六","5505 Public Drunkenness","5505","55"
"2626",972,20,"M","B","2016-09-22T14:00:00","14","九月","星期四","6117A Alter Marks of Identification","6117A","6117A"
"2628",986,19,"F","B","2016-09-22T10:00:00","10","九月","星期四","4906 False Reports to Law Enforcement Authorities.","4906","49"
"2635",6653,21,"F","B","2017-03-16T21:06:00","21","三月","星期四","5502 Failure of Disorderly Persons to Disperse  ","5502","55"
"2636",6653,21,"F","B","2017-03-16T21:06:00","21","三月","星期四","5505 Public Drunkenness ","5505","55"
"2639",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","3925 Receiving Stolen Property. ","3925","39"
"2640",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2642",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","6106 Firearms not to be Carried without a License. ","6106","61"
"2649",3359,19,"M","B","2016-11-30T22:44:00","22","十一月","星期三","3111 Obedience to Traffic-Control Devices. ","3111","31"
"2650",3359,19,"M","B","2016-11-30T22:44:00","22","十一月","星期三","3334 Turning Movements and Required Signals. ","3334","33"
"2653",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","907 Possessing Instruments of Crime. ","907","9"
"2654",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","2705 Recklessy Endangering Another Person. ","2705","27"
"2655",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","3701 Robbery. ","3701","37"
"2656",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","3925 Receiving Stolen Property. ","3925","39"
"2657",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","6106 Firearms not to be Carried without a License. ","6106","61"
"2660",6064,20,"M","B","2017-02-27T21:20:00","21","二月","星期一","4303 General Lighting Requirements. ","4303","43"
"2664",3366,16,"M","B","2016-11-24T01:06:00","1","十一月","星期四","907 Possessing Instruments of Crime. ","907","9"
"2665",3366,16,"M","B","2016-11-24T01:06:00","1","十一月","星期四","3701 Robbery.","3701","37"
"2669",3369,21,"M","W","2016-11-24T02:07:00","2","十一月","星期四","5505 Public Drunkenness ","5505","55"
"2673",6069,18,"M","B","2017-02-27T12:45:00","12","二月","星期一","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2681",5614,20,"F","W","2017-02-15T17:44:00","17","二月","星期三","3921 Theft by Unlawful Taking or Disposition. ","3921","39"
"2682",5614,20,"F","W","2017-02-15T17:44:00","17","二月","星期三","4101 Forgery.","4101","41"
"2684",3380,17,"M","B","2016-12-11T11:40:00","11","十二月","星期日","2702 Aggravated Assault. ","2702","27"
"2685",3380,17,"M","B","2016-12-11T11:40:00","11","十二月","星期日","2705 Recklessy Endangering Another Person. ","2705","27"
"2686",3380,17,"M","B","2016-12-11T11:40:00","11","十二月","星期日","6106 Firearms not to be Carried without a License. ","6106","61"
"2689",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2690",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","1543 Driving While Operating Privilege is Suspended or Revoked. ","1543","15"
"2697",5067,18,"M","B","2017-01-31T23:40:00","23","一月","星期二","6106 Firearms not to be Carried without a License.","6106","61"
"2699",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","3714 Careless Driving ","3714","37"
"2700",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","3733 Fleeing or Attempting to Elude Police Officer ","3733","37"
"2701",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","3743 Accidents Involving Damage to Attended Veh. or Property ","3743","37"
"2706",5211,12,"F","B","2017-02-01T15:17:00","15","二月","星期三","2706 Terroristic Threats. ","2706","27"
"2707",5211,12,"F","B","2017-02-01T15:17:00","15","二月","星期三","5503 Disorderly Conduct.","5503","55"
"2714",2548,21,"F","B","2016-11-15T19:28:00","19","十一月","星期二","3925 Receiving Stolen Property. ","3925","39"
"2715",2548,21,"F","B","2016-11-15T19:28:00","19","十一月","星期二","4106 Access Device Fraud","4106","41"
"2719",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","6106 Firearms not to be Carried without a License. ","6106","61"
"2720",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","1301 Registration and Certificate of Title Required. ","1301","13"
"2721",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","1501 Drivers Required to be Licensed. ","1501","15"
"2722",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","1543 Driving While Operating Privilege is Suspended or Revoked. ","1543","15"
"2723",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","1786 Required Financial Responsibility. ","1786","17"
"2724",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","4703 Operation of Vehicle without Official Certif. of Inspection ","4703","47"
"2725",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","9501 Bench Warrant ","9501","95"
"2726",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","3714 Careless Driving ","3714","37"
"2727",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","7124 Fraudulent Use or Removal of Registration Plates ","7124","71"
"2729",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","4914 False Identification to Law Enforcement Authorities","4914","49"
"2736",4690,21,"M","B","2017-01-16T19:45:00","19","一月","星期一","2701 Simple Assault. ","2701","27"
"2737",4690,21,"M","B","2017-01-16T19:45:00","19","一月","星期一","3701 Robbery.","3701","37"
"2747",6090,16,"M","B","2017-02-02T20:56:00","20","二月","星期四","3702 Robbery of Motor Vehicle. ","3702","37"
"2748",6090,16,"M","B","2017-02-02T20:56:00","20","二月","星期四","5121 Escape. ","5121","51"
"2753",3547,17,"M","B","2016-12-20T13:40:00","13","十二月","星期二","3701 Robbery.","3701","37"
"2755",5456,20,"F","W","2017-02-05T03:26:00","3","二月","星期日","5503 Disorderly Conduct. ","5503","55"
"2756",5456,20,"F","W","2017-02-05T03:26:00","3","二月","星期日","5505 Public Drunkenness ","5505","55"
"2759",3425,16,"M","B","2016-12-13T14:30:00","14","十二月","星期二","3701 Robbery.","3701","37"
"2761",6092,18,"M","B","2017-02-02T21:07:00","21","二月","星期四","3323 Stop Signs and Yield Signs. ","3323","33"
"2762",6092,18,"M","B","2017-02-02T21:07:00","21","二月","星期四","3733 Fleeing or Attempting to Elude Police Officer ","3733","37"
"2763",6092,18,"M","B","2017-02-02T21:07:00","21","二月","星期四","3736 Reckless Driving","3736","37"
"2771",6099,20,"M","B","2017-03-06T16:00:00","16","三月","星期一","2501 Criminal Homicide. ","2501","25"
"2772",6099,20,"M","B","2017-03-06T16:00:00","16","三月","星期一","3701 Robbery.","3701","37"
"2774",5246,20,"M","B","2017-02-01T19:25:00","19","二月","星期三","5121 Escape. ","5121","51"
"2784",5633,20,"M","B","2017-02-17T18:00:00","18","二月","星期五","5126 Flight to Avoid Apprehension, Trial or Punishment. ","5126","51"
"2786",5633,20,"M","B","2017-02-17T18:00:00","18","二月","星期五","6106 Firearms not to be Carried without a License. ","6106","61"
"2787",5633,20,"M","B","2017-02-17T18:00:00","18","二月","星期五","4914 False Identification to Law Enforcement Authorities","4914","49"
"2789",4415,17,"F","B","2017-01-11T22:00:00","22","一月","星期三","5501 Riot.","5501","55"
"2795",4417,17,"F","B","2017-01-11T22:00:00","22","一月","星期三","5501 Riot. ","5501","55"
"2800",6454,19,"M","B","2017-03-14T12:35:00","12","三月","星期二","3701 Robbery.","3701","37"
"2802",1009,21,"M","B","2016-09-04T01:21:00","1","九月","星期日","6106 Firearms not to be Carried without a License. ","6106","61"
"2808",5449,21,"M","B","2017-02-05T01:56:00","1","二月","星期日","6106 Firearms not to be Carried without a License.","6106","61"
"2811",942,16,"M","B","2016-09-24T17:15:00","17","九月","星期六","3702 Robbery of Motor Vehicle.","3702","37"
"2814",3449,17,"M","W","2016-12-07T16:32:00","16","十二月","星期三","9501 Bench Warrant","9501","95"
"2816",1699,19,"M","B","2016-10-01T01:43:00","1","十月","星期六","3701 Robbery. ","3701","37"
"2817",1699,19,"M","B","2016-10-01T01:43:00","1","十月","星期六","9501 Bench Warrant ","9501","95"
"2818",1699,19,"M","B","2016-10-01T01:43:00","1","十月","星期六","4914 False Identification to Law Enforcement Authorities","4914","49"
"2820",5882,18,"M","B","2017-02-23T21:32:00","21","二月","星期四","6106 Firearms not to be Carried without a License. ","6106","61"
"2846",5286,18,"M","B","2017-02-15T15:30:00","15","二月","星期三","2702 Aggravated Assault. ","2702","27"
"2847",5286,18,"M","B","2017-02-15T15:30:00","15","二月","星期三","3502 Burglary. ","3502","35"
"2851",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2852",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","5121 Escape. ","5121","51"
"2853",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","6106 Firearms not to be Carried without a License. ","6106","61"
"2857",5659,19,"M","B","2017-02-14T19:35:00","19","二月","星期二","9501 Bench Warrant","9501","95"
"2860",50,20,"M","B","2016-08-20T04:30:00","4","八月","星期六","3701 Robbery. ","3701","37"
"2864",608,20,"F","W","2016-09-02T12:04:00","12","九月","星期五","3503 Criminal Trespass","3503","35"
"2867",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2868",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","5123 Contraband. ","5123","51"
"2869",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6106 Firearms not to be Carried without a License. ","6106","61"
"2877",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2878",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","5123 Contraband. ","5123","51"
"2879",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6106 Firearms not to be Carried without a License. ","6106","61"
"2892",6352,12,"M","B","2017-03-14T10:39:00","10","三月","星期二","2702 Aggravated Assault. ","2702","27"
"2895",6353,10,"M","B","2017-03-10T10:05:00","10","三月","星期五","2706 Terroristic Threats. ","2706","27"
"2900",1077,18,"M","W","2016-09-04T22:20:00","22","九月","星期日","2710 Ethnic Intimidation. ","2710","27"
"2901",1077,18,"M","W","2016-09-04T22:20:00","22","九月","星期日","3701 Robbery. ","3701","37"
"2902",1077,18,"M","W","2016-09-04T22:20:00","22","九月","星期日","5505 Public Drunkenness ","5505","55"
"2906",1078,20,"M","W","2016-09-16T20:46:00","20","九月","星期五","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2907",1078,20,"M","W","2016-09-16T20:46:00","20","九月","星期五","5503 Disorderly Conduct. ","5503","55"
"2908",1078,20,"M","W","2016-09-16T20:46:00","20","九月","星期五","5505 Public Drunkenness","5505","55"
"2910",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","4910 Tampering with or Fabricating Physical Evidence. ","4910","49"
"2911",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","5123 Contraband. ","5123","51"
"2912",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6106 Firearms not to be Carried without a License. ","6106","61"
"2920",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6106 Firearms not to be Carried without a License. ","6106","61"
"2932",3467,17,"M","B","2016-12-02T12:00:00","12","十二月","星期五","3502 Burglary. ","3502","35"
"2933",3467,17,"M","B","2016-12-02T12:00:00","12","十二月","星期五","3921 Theft by Unlawful Taking or Disposition. ","3921","39"
"2934",3467,17,"M","B","2016-12-02T12:00:00","12","十二月","星期五","3925 Receiving Stolen Property.","3925","39"
"2941",6357,16,"F","W","2017-03-10T08:15:00","8","三月","星期五","5503 Disorderly Conduct. ","5503","55"
"2944",6358,16,"F","W","2017-03-10T08:15:00","8","三月","星期五","5503 Disorderly Conduct. ","5503","55"
"2948",5712,18,"M","B","2017-02-20T14:20:00","14","二月","星期一","6106 Firearms not to be Carried without a License. ","6106","61"
"2949",5712,18,"M","B","2017-02-20T14:20:00","14","二月","星期一","1501 Drivers Required to be Licensed. ","1501","15"
"2962",5941,15,"M","B","2017-02-20T17:00:00","17","二月","星期一","5101 Obstructing Admin. of Law  ","5101","51"
"2963",5941,15,"M","B","2017-02-20T17:00:00","17","二月","星期一","5104 Resisting Arrest or Other Law Enforcement. ","5104","51"
"2967",1103,18,"M","B","2016-09-28T01:30:00","1","九月","星期三","3701 Robbery.","3701","37"
"2969",1106,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","5121 Escape. ","5121","51"
"2970",1106,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","5126 Flight to Avoid Apprehension, Trial or Punishment. ","5126","51"
"2971",1106,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","1543 Driving While Operating Privilege is Suspended or Revoked. ","1543","15"
"2972",1106,20,"M","B","2016-09-28T13:09:00","13","九月","星期三","3112 Traffic-Control Signals. ","3112","31"
